case_name,period_index,year,price_guess,final_price,instant_implied_price,construction_adjusted_implied_price,housing_demand,housing_supply,excess_demand,equal_weight_vote,weighted_vote
instant_market_clearing,1,2010,2.00033601210982,2.00062479495736,2.00033601210982,2.00033601210982,0.0384160194974987,0.0384215655094859,-5.54601198713561e-06,-0.970803997816276,-0.94871490033345
instant_market_clearing,2,2011,2.00040274018893,2.00077157632939,2.08956545466921,2.08956545466921,0.0401296515994858,0.0384243844139178,0.00170526718556804,-0.969501615629536,-0.946427161297523
instant_market_clearing,3,2012,2.00044992543386,2.00088703678943,2.16815056676778,2.16815056676778,0.0416388616423565,0.0384266018070243,0.00321225983533223,-0.968355722004997,-0.944414378426825
instant_market_clearing,4,2013,2,2,2.15075409463941,2.15075409463941,0.0413047661661837,0.0384095664577673,0.00289519970841642,-0.968609699527889,-0.944860304185179
construction_lag_w0.13,1,2010,2.00033601210982,2.00037896195426,2.00033601210982,2.00037337842234,0.0384160194974987,0.0384168443399509,-8.24842452153141e-07,-0.970803997816276,-0.94871490033345
construction_lag_w0.13,2,2011,2.00040274018893,2.00046784958505,2.08956545466921,2.01174951341594,0.0401296515994858,0.0384185514076319,0.00171110019185387,-0.969501615629536,-0.946427161297523
construction_lag_w0.13,3,2012,2.00044992543386,2.0005406487281,2.16815056676778,2.03142561487419,0.0416388616423565,0.0384199494993935,0.00321891214296303,-0.968355722004997,-0.944414378426825
construction_lag_w0.13,4,2013,2,2,2.15075409463941,2.04655585850036,0.0413047661661837,0.0384095664577673,0.00289519970841642,-0.968609699527889,-0.944860304185179
construction_lag_w0.20,1,2010,2.00033601210982,2.00040082515622,2.00033601210982,2.00038786237894,0.0384160194974987,0.0384172642180051,-1.24472050638119e-06,-0.970803997816276,-0.94871490033345
construction_lag_w0.20,2,2011,2.00040274018893,2.00050096816021,2.08956545466921,2.01791358708026,0.0401296515994858,0.0384191874426886,0.00171046415679718,-0.969501615629536,-0.946427161297523
construction_lag_w0.20,3,2012,2.00044992543386,2.00058597635541,2.16815056676778,2.04710415284837,0.0416388616423565,0.0384208200066502,0.00321804163570629,-0.968355722004997,-0.944414378426825
construction_lag_w0.20,4,2013,2,2,2.15075409463941,2.06742661630195,0.0413047661661837,0.0384095664577673,0.00289519970841642,-0.968609699527889,-0.944860304185179
construction_lag_w0.45,1,2010,2.00033601210982,2.00047606119703,2.00033601210982,2.00041303789443,0.0384160194974987,0.03841870910986,-2.68961236121745e-06,-0.970803997816276,-0.94871490033345
construction_lag_w0.45,2,2011,2.00040274018893,2.00060568117625,2.08956545466921,2.04005094497565,0.0401296515994858,0.038421198433463,0.00170845316602278,-0.969501615629536,-0.946427161297523
construction_lag_w0.45,3,2012,2.00044992543386,2.0007195084905,2.16815056676778,2.09673142556928,0.0416388616423565,0.0384233844623587,0.00321547717999786,-0.968355722004997,-0.944414378426825
construction_lag_w0.45,4,2013,2,2,2.15075409463941,2.12087163451776,0.0413047661661837,0.0384095664577673,0.00289519970841642,-0.968609699527889,-0.944860304185179
